" Não funciona on nem off line fiquei rodando igual peru tonto, quando chegava no ponto indicado o trajeto sempre era modificado me levando a lugar nenhum, perdi uns 30 minutos até que dexisti  e usei um outro app. ",Positivo
" Muito bom, sou de Itaquaquecetuba e fui para Ubatuba, 4:00h de viagem, foi direitinho, ótimo App. ",Neutro
 Muito bom uso sempre que preciso ele cumpre seu papel faz seu trabalho direitinho! ,Neutro
" Ótimo aplicativo, porém deverá calcular uma nova rota e não informar pra retornar, tive um problema entre a cidade de Vinhedo até a cidade de Campinas onde durante o percurso em vez de continuar direto na rod Dom Pedro I ele me enviou pra cidade de Valinhos e depois retornar pra mesma. Em Ribeirão Preto um radar não foi informado pelo GPS. Mais o restante parece estar tranquilo. ",Negativo
" Em minha opinião pessoal é o melhor aplicativo de sistema GPS gratuito hoje na Playstore ! Nunca tive problemas em percursos e rotas usando o aplicativo, me sinto bem seguro transitando com ele, meus parabéns aos desenvolvedores do aplicativo ! ",Positivo
 Essa nova atualização ficou péssimo não mostra seus destinos anterior e fico muito mais complicado.que pena era tão bom.vou procurar outro.😥 ,Positivo
" Meu aplicativo procura a minha localização.  Mais demora muito e não  encontra,  resolve esse problema ",Neutro
 Eh mto bom mas moro na grande Florianópolis a dois anos e ainda não aparece o meu loteamento no google mãos ja tem.. Quando atualizar dou 5 estrelas pq o APP eh ótimo! ,Positivo
 Sempre usei ... A cada atualizacao ele melhora com serteza o melhor gps ,Positivo
" O APP e bom por conta de não precisar de internet, mas a dificuldade e ele mudar de rota quando vc sabe dum trajeto melhor, e não mostra os nomes das ruas paralelas mas e bom. ",Neutro
" Ótimo aplicativo me leva nos endereços sem erros, sem contar que avisa onde tem radares. só acho que deveria ter a opção de números da casas comércios. ",Positivo
" fui numa rua não pavimentada,lugares do interior da cidade onde recido,este levou certinho sem sinal de satélites,funcionou offline parabens,dei 4 estrela porquê sempre pode melhorar  se elogiar demais estraga. ",Positivo
" Excelente aplicativo, o melhor GPS que já baixei, rotas nítidas nunca me deixou na mão, recomendou e ainda não precisa de internet ",Neutro
" Depois da atualização o app não funciona direito. Sempre manda entrar onde não rua, não recalcula, erro de localização, não mostra mais a velocidade em que estamos, fica sempre no zero. Conforme vamos andando no trajeto o GPS não se move. Sempre usei esse app mas agora está impossível, favor verificar. ",Neutro
 Olá sou a um ano usuária do GPS Brasil no mesmo aparelho porém a pós á última atualização ele está sempre sem sinal de GPS e tbm quando da sinal fica sem voz e som  Por favor de uma avaliada pq gosto muito do apk ,Negativo
 Muito bom... Uso a muito tempo.    Sempre com atualizações... Podem baixar. ,
" BOM👍 Ainda precisar atualizar o mapa, favor de um jeito na atualizaçao do mapas. ",
 Muito bom um gps off line maravilhoso ,
 Top. Baixou levou aonde tem que levar. Sempre bom antes perguntar pra alguém que já viajou para lugares próximos se realmente o caminho é o melhor. ,
 Recomendo !! Funciona muito  bem. ,
" Vi outros usuários reclamando sobre informações erradas e os administradores do app informando que é recepção do GPS, só se for de todos então. Essa semana tive duas situações desagradáveis em relação ao trajeto sugerido pelo app ",
" Péssimo depois dessa nova atualização,o app não abri direito e não consigo usar; era ótimo agora não 😥😥😥 ",
" MUITO BOM , SO QUE TEM CAMINHOS MAIS FÁCEIS  QUE ELE NÃO INDICA EXEMPLO,  DE LEOPOLDINA MG PARA VIRGINOPOLIS ANDEI 50 KM A MAIS SENDO QUE PASSANDO POR IPATINGA COM O GOOGLE MAPS ANDEI 50 KM A MENOS PODERIA DE DAR TPDAS AA OPÇÕES DE ROTAS , MESMO ASSIM É ÓTIMO!!! ",
 Já usei em 4 viagens e funcionou legal. Avisa a aproximação de radares fixos e a velocidade permitida. Muito bom. Fácil de usar. ,
" Aplicativo muito bom, principalmente por não necessitar Net durante navegação. Ainda não usei em via urbana..... ",
" Usei poucas vezes, mas até agora me agradou bastante ! Vale o download ! ",
 Obom mesmo e tbm pega sem internet adorei ja resolvem meus problemas nao presísso mais compra o gps pq a internet do celular e lento este app aprovado...... essa nova atualização focou mais dificio de mecher... ,
 O melhor aplicativo offline até agora que usei. ,
 Muito bom. O equilibrio entre o uso off line e dados é muito eficiente. Uma sugestao de melhoria seria poder gravar uma rota. ,
 Esse GPS é incrível! Ainda mais o modo offline que me ajudou muito. Pude viajar sem problemas. ,
" Usei em alguns lugares em off deu certo... Lógico que tem lugar q só online, mais muitos lugares traçou a rota mesmo em offline... Mui bom ",
 Olha pessoal  parabéns realmente muito bom viajo muito SP  e realmente ajuda muito   deixo off  me leva nos locais exato ,
" Ótimo app, além de funcionar sem internet, o aplicativo quando conectado a uma rede lhe informa o trânsito, ótimo para quem não tem 3G pois posso abri-lo em casa, ver o trânsito e já calcular a melhor rota... Nota 10 para os desenvolvedores. ",
" Faz um tempo que ele estava travando e então desinstalei, mas parece q foi resolvido e está perfeito 👍 ",
 Muito bom fui para São Paulo e voltei cem problemas a moça poderia informar a velocidade dos radares. Radar a 500m cinquenta klm por horas.foi recomendar aos amigos. ,
" Excelente aplicatico, recomendo a todos. ",
 Bom .pena que perdi a voz da luciana  que comprei no moto g2 agora desativado ! ,
 Melhor App offline  que já usei ,
 Até agora não me deixou na mão muito bom . ,
" Era ótimo ate hoje, eu quase morri por que o gps na viagem ao invés de me mandar ir pela estrada me guiou para um ""atalho"" pelo meio de uma area de risco com tráfico de drogas. Por Deus estou vivo ainda e posso relatar isso ainda ",
 Bom ,
" Acabei de baixar e ja fui informado que este app não será otimizado no meu tablet,mesmo assim vou testar, uso bastante aqui em são paulo e os outros app tem deixado muito na mão, se for bom dou nota maior ",
 Boa tarde gostei muito mim atendeu na hora mais que eu precisei muito bom mesmo podem baixa app muito bom ,
 Muito bom es gps ,
" Gostei, por onde eu passei ele mostra os radares e o caminho bem certinho. O problema é que se eu passar por outro caminho o GPS não atualiza a rota automaticamente e fica mandando voltar o tempo todo, tive que desligar. E não consegui escolher meu trajeto, só me deu duas opções fixas. ",
 Hoje estava na marginal Pinheiros e o limite de velocidade e de velocidade e de 90 e o app ainda está com 70. Teria que subir a ponte octamendez e eu teria que ficar na pista local para pegar essa ponte mais o app mandou eu ir para pista expressa passei da ponte e depois ficou pedindo para eu retorna ,
 Usamos o app ele muito bom avisa quando há um foto sensor mas na parte mudança rota ele não foi rápido precisa ser melhorado em alguns ambientes o sinal do GPS cai e ele falha também precisa melhorar isso. Um ótimo app recomendo a usar. ,
" Só não dei 5 estrelas por que muitas vezes ele não acha o sinal gps tenho q ligar a internet pra ele achar fica escrito assim ""opps não encontramos o sinal gps"" e manda eu mudar meu destino ",
 Esta funcionando bem parabéns! só o simulador de rota deveria ser mais simples para as pessoas acertarem a funcionalidade . ,
 Para ser perfeito só falta ser mais rápido ao traçar nova rota e ao fazer uma curva. Mas parabéns aos desenvolvedores. ,
 Muito bom. Só estraga são esse excesso de propagandas'-' ,
" Tô adorando, uso o GPS Brasil há um tempo, só que nessa última atualização, deixou uma grande falha, na questão da orientação por voz não funciona mais, por favor equipe arrumem isso para que não permanece com esse bug, se resolver isso, aí sim darei os 5 estrelas, mais o resto tá muito bom. ",
 Excelente a primeira vez q usei me levou certinho no endereço e ainda por um caminho mais curto muito bom ,
 Oi tudo bem queria informar que a marginal Pinheiros ela é 90 km/h só que o app mostra que os radares dela é 70 km/h ,
" Atendeu bem as espectativas mas, cai muito o sinal do GPS e demora muito para atualizar a rota quando vc sai do percurso. ",
" O App é ótimo, nele eu daria as 5 estrelas. O problema é a navegação, já que esse app utiliza um mapa bem desatualizado, de uns anos atrás. ",
" Não gostei, me colocou numa estrada de terra de 100 km. Sendo que tinha rodovia por perto, fudi meu  carro por causa desse GPS. ",
 Gostei !!!Achei muito eficiente!!Fiz uma viagem de 720 km e sempre avisou os radares certinhos. Achei melhor que Wase e o Maps ambos cheio de frescurite. As coisas tem que ser mais objetiva e simples. ,
" Bom aplicativo! Mas tem radar que não está no aplicativo,via lagos e linha vermelha ta faltando alguns.Perto do Galeão ",
 Pessoal eu não sou de ficar comentado os app não mais esse merece todos os elogios...tá de parabéns app muito bom msm! ,
 Hoje  indo ao trabalho testei esse app Pois ele me indicou uma rota ao contrário do sentido que eu deveria ir sendo que havia uma única via a Av Papa João Paulo I em Guarulhos e ele me guiou para bom sucesso sendo que EU ia para o CECAP ,
 Muito bom estão de parabéns eu já tinha baixado este app mais eu desistalei uma época por falta de espaço e fui instalar de novo só que estava com outra cor o ícone foi difícil pra mim achar mais valeu apena a procura muito bom !! ,
 O app fica buscando sinal de gps toda hora. Nao consigo usar Ps. Meu celular nao esta com problemas. Da minha esposa tambem acontesce isso e com outros celulares tambem. Estou decepcionado ,
 Muito prático e preciso! Vou comprar os mapas da América do Sul ,
 Não utilizei todos os recursos desse aplicativo mais não tive problemas até o presente momento ,
 Otimo ,
 Muito bom estou gostando  me ajuda muitooo pelo menos não me da rotas de lugares de RISCO ,
" Excelente app, fui pra Ap. do norte e funcionou perfeitamente e ainda mostrou todos os radares, só tem um probleminha que quando a gente chega no endereço corrento, tem que avançar mais uns 5 metros pra ele falar que eu cheguei ao meu destino, sendo que eu já estou na numeração certa, mais o resto estão de parabéns. ",
 Aplicativo muito bom recomendo. Só tem que atualizar algumas coisas mas de resto está ótimo ,
 Muito  bom adorei eu uso ele em toda as minhas  viagens ,
 Excelente ,
" Show, muito bom e de fácil manuseio,só tem um problema,a atualização do mapa, já faz um tempo que os mapas estão sem atualizar, temos duas pontes novas na marginal já algum tempo e as mesmas ainda não estão no mapa... ",
" vcs atualizam esse gps e continua do mesmo jeito. ñ dá pra visualizar as cidades, rodovias, rios, lagos, quando se afasta o mapa. Ñ dá pra ter opções personalizadas de rotas pelo usuário. melhorem isso e coloquem opções de o usuário poder baixar mapas de qualquer cidade e armazenar no cartão Sd. ",
 O app é ótimo sempre me levou para os lugares corretamente não tenho que reclamar ,
 Amigos o mapa è atualizado? Foi essa minha pergunta e nao tive resposta kkkkkk ,
 ainda não sei a funciona sem dados móvel mesmo mais o endereço e correto até agora ,
" Excelente app, fui pra Ap. do norte e funcionou perfeitamente e ainda mostrou todos os radares, só tem um probleminha que quando a gente chega no endereço corrento, tem que avançar mais uns 5 mentros pra ele falar que eu cheguei ao meu destino, sendo que eu já estou na numeração certa, mais o resto estão de parabéns. ",
" Muito bom, mas gostaria de saber como baixar os arquivos adicionais, porque só dá erro quando se tenta baixar. ",
 Manda virar a esquerda quando é para a direita.  O aviso sonoro soa somente depois de ter passado o radar.  Por favor tem como ajustar isso?😎 ,
" Muito bom, basta seguir as coordenadas correta, pois se errar a rua, ele te indica como se tivesse entrado nela. ",
" Talvez seja o pouco tempo se contato com o app, mas achei pouco intuitivo a forma de pesquisar endereço de destino.  Era falta de intimidade mesmo.... Busca muito facil. Uma observação quanto a localização de radares na BR163. ",
 Sempre usei esse GPS nas minhas entregas porém alguns endereços não estão certos tento entrar em contato com o suporte mais não consigo é o e-mail do suporte consta como incorreto aguardo respostas da equipe do GPS Brasil ,
" Aplicativo sempre me auxilia bem....um dos problemas que verifiquei nas duas últimas viagens que fiz,  é a questão de radares que não estão atualizados em alguns pontos na rodovia Tamoios e na Anhanguera. ",
" Atende a todas as expectativas. Sempre que o utilizei, me levou ao destino sem qualquer problema. ",
" Ótimo! Pra mim o melhor, avisa todos os radares, e não precisa de internet. Nota 10 ",
" Há mto tempo procurava um navegador gps off line eficiente,este superou mhas espectativas,podem baixar..e parabéns aos desenvolvedores. ",
" Funcionou por 3 dias, agora fica na tela ""BAIXANDO ARQUIVOS ADICIONAIS""  e não sai disso, gostaria de uma solução pois gostei muito do aplicativo, ainda uso o sync achei q o gps brasil seria = ou melhor..aguardando solução para dar mais estrelas ",
 É um ótimo aplicativo  Gostaria de saber se na próxima atualização vai ter como escolher o modo de veículo que vc está  No caso carro caminhão ,
" Pra mim só faltou ser maior o o visual do mapa e demais objetos, pois em uma posição onde o celular fica posicionado no painel do carro, fica um pouco dificil a visualização. Se arrumarem isso, fica perfeito ",
" Fiz um pequeno teste e gostei,agora não sei se ele avisa de radares, amanhã vou viajar e ver se melhoro as estrelas, ",
" Muito bom , melhor GPS que já usei até hoje . ",
" O aplicativo parece ser muito bom, porém um erro grave que vi nele, são os nomes das ruas principais muito pequenos e fica embaixo da rota do GPS . É deveria fica encima e com tamanho bom de visualização... ",
" Me surpreendi, não achei que seria tão bom, na minha opinião melhor que waze ",
 No começo funcionou mas depois Me deichou na mão ,
" Eu já usei ele antes, App muito bom, e agora abaixei para usar novamente, só que está demorando muito para carregar, demora para achar  as cidades selecionadas, e estou usando a net da minha casa 8mb de fibra optica ",
 Já está na hora de atualizar esse mapa tem rua q está no nome antigo ainda ,
" Excelente gps! Merece 5 estrelas, podem baixar que vale à pena, eu tinha desinstalado e instaleio novamente, agora descobri como simular navegação antes de iniciar uma viagem. Agora estou adorando! Só um problema que eu não gostei, à voz que comprei do app tts, não fala o português brasileiro claramente. ",
 Ficou horrível o GPS não consigo ver os nomes das ruas durante durante navegação  Só mostra por onde tem que ir mas não mostra os nomes das ruas e antes não era assim eu gosta muito desse aplicativo indiquei muitas vezes mas agora ja não indico pois ficou muito ruim ,
" Excelente navegador,esta a beira de perfeição.Rápido e da mais de uma opção de rota.Continuem assim desenvolvedores.Obrigado. ",
 Ótimo app viajei 1.125  tudo certinho recomendo 👍 ,
" App excelente! Usei somente em área urbana, mas logo menos farei o teste. Parabéns, estava precisando dessa navegação Offline! ",
" Esse é fino, não te manda pro lado errado! Super  preciso! ",
 Excelente  o bom que funciona em off line ,
 Muito bom só está faltando rotas alternativas ,
" Bom,eu usei o app e foi ótimo, fiquei um pouco preocupado por que o app me levou por um lugar diferente ,mais foi certo a rota, então indico pra quem não tem ,pode baixar o app é nota 10. ",
 Muito bom ,
" Tem radares da BR 376 sentido Curitiba/Joinville que não alerta, se pudessem verificar ",
" Ele só da a rota mais longe ,  pelo menos aqui em salvador ele parece desatualizado do mapa da qui. Só aparece uma rota pra cada lugar que pesquisei. Eu deveria poder escolher ou ele me da a rota mais rápida ",
 Eu gostei para mim show obs mas me poderia me amostra a primeira igreja Missionaria assembleia de DEUS JESUS É A LUZ que fica na travessa progresso no bairro geneciano nova iguaçu rj ,
" Poderiam mostrar alternativa de rotas alternativas, e situações de trânsito. ...app muito bom. ",
 Até o momento tem sido um bom aplicativo ,
 Bom pode melhorar especialmente com atualizações mais rápido ,
" Precisa atualizar esse mapa urgente o transito mudou em varias cidades e o mapa não, em Niterói o  GPS manda entrar onde não tem rua, construiram o mergulhão e o gps fica indicando rua qua não existe mais. ",
 É o melhor. Esqueçam os outros. Offline e Correto é esse aqui! Parabéns ao Desenvolvimento. ,
" Viagem de São Paulo a Minas Gerais sem problema algum, com precisão e informações ótimas.... Muito bom ",
" O aplicativo é ótimo. Os anúncios nele, uma hora iam aparecer, de graça nem relógio trabalha. Mas paguei o valor e tchau anúncios.  O que poderia ter pra deixar melhor. O usuário informar por foto e marcação do GPS, um local para ser adicionado ao mapa ou removido. Informar uma mudança no sentido da via. Informar lentidão no local. Por a própria voz no GPS (um aplicativo externo pra fazer isso se for o caso) Ganhar pontos por ajudar a melhorar o mapa e trocar na por itens. Ter mais variações de símbolos de veículos na loja. Já recebi comentários de motorista de van escolar usando esse aplicativo, motoboy e até caminhoneiro, no canal do YouTube. E a opção de usar o smartphone como Dash Can, para filmar o trajeto, se possível com as duas câmeras para smartphones como uma boa potência de hardware. Assim filma 2 arquivos, um externo e um interno. É de graça a sugestão, pode usar. ",
" Não é interessante, não dar pra mudar a rota e nem adicionar paradas ou evitar alguma passagem, além de ter uma interface muito básica e o menu SUPORTE não funciona! Desinstalando👎 ",
" Com toda certeza, o melhor aplicativo de GPS e com sistema offline da atualidade, sistema de navegação muito preciso com opções de escolher a melhor rota, avisos de radares visíveis e não visíveis na pista, orientação visual muito limpa e legível, opções de pontos turísticos e etc... Simplesmente um ótimo trabalho, continuem assim para que nós usuários possamos indicar e fazer a comunidade crescer cada vez mais. ",
" Ainda não usei em viagens, se funcionar corretamente sem conexão com internet e não travar não existe nada igual nota 1000 ",
" Muito bom aplicativo!! Estava procurando exatamente um GPS assim para meu smartphone. Sempre uso o Google maps mas, falha as vezes qdo uso nas rodovias onde trabalho. A internet no Brasil é muito ruim, então off line me salva nesse aplicativo! Parabéns ao desenvolvedor! ",
 Muito bom me atendeu ,
 Deveria ter opções para trajeto mais rápido Seguros pelo asfalto e pelas estradas de terra como segunda opção ,
 O melhor que já vi ,
 Esse GPS não tem outro melhor ele é maravilhoso sensacional nota milllll ,
" O melhor aplicativo off-line que já vi eu recomendo. Só precisa de alguns ajustes algumas ruas não encontra e o mais importante seria calcular sempre o caminho mais curto, acaba mostrando caminho mais longo melhorando esse item fica top. Valeu ",
 To enfrentando problemas ao procurar bairros mais recentes ds minha cidade. Nao consta. E nao tem como usar minha casa como ponto de partida. Devido nao me localizar no maoa ,
" Muito bom,sempre usei perfeito parabéns ao criador nehuma multa ate hoje. Indiquei a todos meus amigo perfeito parabéns o melhor só falta algumas atualizações de velocidade  mas e perfeito indico  a todos que precisem de gps off. ",
" Melhorou bastante mais ainda precisa de muita coisa,  antes era bem melhor pq agente ia até o destino sem sair do lugar e agora não tem mais a opção, e ainda existe muitas ruas que agente não consegue encontrar, e não mostra os nomes das ruas próximas por exemplo uma travessa cadê o nome? ",
 Quero parabenizar os criadores !!!!! Muito bom mesmo cumpri oque promete totalmente off me levou ao destino traçou novas rotas sem problemas parabéns mesmo!!!!!! ,
 Vou testar hoje depois de testar eu deixo um comentario! ,
 Só em funcionar off line tá excelente. ,
 Aplicativo ótimo só fica meio estranho que em algo lugares a rota continua erro e ele da um caminho diferente na e muito bom melhor que muitos aplicativos por aí ,
 Precisa ser atualizado tem muitas rotas outro dia me mandou p uma favela lugar sinistro ele evita vias principais movimentadas porém te manda p quebradas ,
 Aplicativo legal pena que no litoral sul da Bahia mais precisamente BR 327 sentido Porto Seguro não reconhece radares e fica desorientado no trajeto.   Mas estão de parabéns em atendimento e principalmente de escutar opiniões de seus usuários. Dignos de elogios. 👏👏👏👏 ,
 Muito bom e prático para viajar ,
" O App é muito bom, mais deixa á desejar nas atualizações de rotas perigosas nas cidades pequenas e distritos tipo colocando vc em rota de areis e becos esquisitos.  Mais me fez sair de São Paulo á minha cidade no Ceará certinho.  Sugestão para o App da ao usuário a orientação de voz com explicação para que o usuário escolha a rota que quer ir consciente de que o App o orientou na escolha. perde pro waze nesse sentido. Mais também ganha do waze por não necessitar de Internet e abrange intenção de quilometragem muito maior que o waze que só alcança só uns 1500 km.👍 ",
" O app é muito bom, fui para o Nordeste e me ajudou muito a localizar os hotéis que eu tinha reservado, o único defeito, é que as vezes o sinal some, e demora um pouco para voltar a funcionar. ",
 Eu gostei Bom ele parece ser um app bom mais eu vou  testa certinho por inquanto nao tenho certeza ,
" Aplicativo muito bom, apenas as ruas do mapa são um pouco, quase na mesma cor do plano de fundo do restante do mapa. Ao consultar o mapa se o zoom estiver diminuído não da pra ver bem as ruas. No restante é um ótimo aplicativo. Aconselho as pessoas baixarem. ",
 O único polema e que toda hora pede para ajustar a busula mas é ótimo já usava ele quando era oi mapas ,
 Muito bom! ,
" Tô gostando bastante do app, vcs pediram para abrir o app mesmo que eu já soubesse o caminho, ele me avisaria dos radares etc. Ele poderia aprender o caminho salvo que seria casa e trabalho por que faço o mesmo trajeto todos os dias, acho que ficaria mais contente com o app. ",
" É um bom app, porém precisa atualizar algumas ruas,estava passando em Jequié BA,e ele me direcionou a ruas que eram contra mão, e aqui em SP precisa atualizar também as marginais,a rodovia está há 90 Km/h e no app está a 70 km/h. Mas ainda assim recomendo. ",
" e bom, porém aki em Fortaleza aparece alguns erros no trajeto. .  como ruas na contra mao ",
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
